stamp_sec,stamp_nanosec,x_m,y_m,yaw_rad,vx_mps,vy_mps,yaw_rate_rps,confidence,median_submap_residual_m,median_wall_residual_m,valid_correspondence_count,alignment_ready,imu_initialized,best_effort_init
1774771459,287893263,1.105438,-0.212369,-0.196965,-0.085931,0.035926,-0.000907,high,0.004916370655836285,0.28476859889624373,57,1,1,0
1774771459,365306636,1.112731,-0.211849,-0.194667,-0.082852,0.034741,-0.000094,high,0.004551808928069196,0.2962794902607966,57,1,1,0
1774771459,442763287,1.098994,-0.215992,-0.207415,-0.081965,0.035276,-0.000011,high,0.004048973542618671,0.33046451280294814,56,1,1,0
1774771459,519282350,1.115009,-0.203393,-0.186551,-0.081419,0.035789,-0.000185,high,0.006775253631178025,0.270790784973532,57,1,1,0
1774771459,595621303,1.105587,-0.212500,-0.197473,-0.081980,0.035545,0.000226,high,0.008630953658196869,0.29059787279409854,57,1,1,0
1774771459,671883367,1.112135,-0.212023,-0.195088,-0.082473,0.034548,0.000372,high,0.0021780649476460653,0.2950472908889109,57,1,1,0
1774771459,748504170,1.097813,-0.216116,-0.208160,-0.084015,0.033114,0.000402,high,0.001174717271211411,0.2930023930208612,57,1,1,0
1774771459,800571022,1.098319,-0.215292,-0.192841,-0.086037,0.033562,-0.000055,high,0.001535437962134527,0.2699749593418971,57,1,1,0
1774771459,876960418,1.092044,-0.222164,-0.209680,-0.088324,0.035328,0.000005,high,0.004333650965332088,0.2508881913569445,57,1,1,0
1774771459,955412583,1.088043,-0.220248,-0.196927,-0.088846,0.037358,-0.000179,high,0.010783216976978127,0.2816180267673791,56,1,1,0
1774771460,30600751,1.087674,-0.217906,-0.199998,-0.089594,0.040526,0.000093,high,0.006140520711107984,0.3209259709104477,58,1,1,0
1774771460,108043638,1.086074,-0.223644,-0.206511,-0.091484,0.040691,0.000203,high,0.006381711688629518,0.2773874425448679,58,1,1,0
1774771460,183319923,1.083098,-0.219021,-0.200183,-0.092783,0.039624,-0.000113,high,0.004788625808022337,0.2922645243261073,56,1,1,0
1774771460,236488817,1.085240,-0.217711,-0.201376,-0.093987,0.038392,-0.000422,high,0.003119364660989858,0.3278859485552369,58,1,1,0
1774771460,312725023,1.088139,-0.216553,-0.187479,-0.094488,0.036662,-0.000577,high,0.0021742419704765354,0.2754469212427317,57,1,1,0
1774771460,389548450,1.082016,-0.219265,-0.200529,-0.093490,0.035933,0.000107,high,0.006017480598552713,0.3071210339598427,57,1,1,0
1774771460,466698412,1.084667,-0.217768,-0.202370,-0.091378,0.036238,0.000427,high,0.0011797537145288618,0.3226107901939865,57,1,1,0
1774771460,543236785,1.082842,-0.223569,-0.206917,-0.091241,0.037489,0.000420,high,0.0010082479783540721,0.27487433267719696,57,1,1,0
1774771460,620369284,1.091051,-0.214439,-0.185643,-0.091993,0.037329,0.000268,high,0.003315770146716377,0.3000231821500575,56,1,1,0
1774771460,696291918,1.087288,-0.219394,-0.200127,-0.090621,0.036634,0.000381,high,0.004401282228205658,0.2980460187772136,57,1,1,0
1774771460,747687208,1.079542,-0.221476,-0.210438,-0.089739,0.035793,0.000131,high,0.003775342023452981,0.276161745841795,57,1,1,0
1774771460,825625112,1.086735,-0.215516,-0.188519,-0.087570,0.033309,0.000069,high,0.00312148400330773,0.25216562798475767,57,1,1,0
1774771460,901484301,1.080501,-0.218070,-0.203324,-0.086089,0.032919,-0.000421,high,0.0036307359363956667,0.29504781826206333,57,1,1,0
1774771460,977849841,1.077176,-0.216909,-0.208325,-0.085655,0.034427,0.000039,high,0.004100769104646483,0.2723146215534717,58,1,1,0
1774771461,54995422,1.083317,-0.219098,-0.217709,-0.085552,0.035127,0.000297,high,0.0058016757802249784,0.304588183225939,58,1,1,0
