pose_index,stamp_sec,stamp_nanosec,x_m,y_m,yaw_rad
359,142,734000000,4.854498328,2.269591978,2.716637190
360,142,767000000,4.832892343,2.279237995,2.718012301
361,142,803000000,4.804874657,2.290652209,2.725871059
362,142,834000000,4.774365687,2.301199976,2.742907860
363,142,867000000,4.736968830,2.311750981,2.771626542
364,142,900000000,4.709835110,2.318889325,2.790419063
365,142,934000000,4.677150392,2.327467154,2.809969830
366,142,967000000,4.647386338,2.334033632,2.832003504
367,143,0,4.613789121,2.339757489,2.861257926
368,143,35000000,4.573851117,2.345549404,2.893395779
369,143,69000000,4.537955954,2.350985673,2.914502188
370,143,100000000,4.493769650,2.358577090,2.928702960
371,143,134000000,4.451373237,2.366485652,2.934608863
372,143,167000000,4.421413364,2.372286593,2.935472236
373,143,200000000,4.398920006,2.376683102,2.934681779
374,143,234000000,4.375195529,2.381323409,2.932788936
375,143,300000000,4.343450569,2.388032863,2.932775430
376,143,367000000,4.308185208,2.395471277,2.932549329
377,143,400000000,4.286301067,2.400157548,2.932849358
378,143,434000000,4.265064131,2.404659350,2.932862462
379,143,467000000,4.241390669,2.409620351,2.932515428
380,143,534000000,4.219594533,2.414179587,2.932101100
381,143,667000000,4.197395321,2.418874188,2.931949449
382,143,800000000,4.175719019,2.423618152,2.932851510
383,143,867000000,4.138152333,2.431591447,2.933651945
384,143,900000000,4.114458111,2.435989367,2.936762310
385,143,967000000,4.078934975,2.442153138,2.943364031
386,144,34000000,4.049848330,2.447166939,2.947436668
387,144,100000000,4.017807374,2.453277318,2.948301609
388,144,169000000,3.987575961,2.458799133,2.950494716
389,144,235000000,3.964638903,2.462780218,2.953193891
390,144,300000000,3.933330601,2.468042848,2.958173594
391,144,334000000,3.913341041,2.471517238,2.959417982
392,144,400000000,3.881170817,2.477259938,2.959740972
393,144,467000000,3.857920204,2.481482916,2.959549398
394,144,534000000,3.836139497,2.485201454,2.961595210
395,144,634000000,3.816215537,2.488581627,2.963424130
396,144,767000000,3.796247944,2.492158418,2.963667610
397,144,867000000,3.770638926,2.496136897,2.967465214
398,145,0,3.739923850,2.500521111,2.974436445
399,145,134000000,3.710063521,2.504349804,2.981974998
400,145,201000000,3.678084760,2.507419904,2.994976347
401,145,235000000,3.656170156,2.509781526,2.999888313
402,145,300000000,3.623092357,2.513486785,3.005795964
403,145,367000000,3.596085741,2.516402391,3.009255046
404,145,434000000,3.575423487,2.519064483,3.009870758
405,145,567000000,3.554543128,2.521799456,3.009789372
406,145,735000000,3.531909928,2.524421916,3.012643161
407,145,834000000,3.510666922,2.526779113,3.015252988
408,145,967000000,3.485477928,2.529901267,3.016157603
409,146,34000000,3.464156661,2.532299260,3.018413738
410,146,100000000,3.436023481,2.534180660,3.027808243
411,146,200000000,3.411966681,2.536524362,3.030094756
412,146,334000000,3.390319508,2.538935958,3.030255205
413,146,467000000,3.366584719,2.541595236,3.030313933
414,146,567000000,3.345906240,2.543933368,3.030508043
415,146,700000000,3.323287188,2.546448471,3.030464836
416,146,867000000,3.303242252,2.548709106,3.030633131
417,147,35000000,3.279249801,2.551421806,3.030906995
418,147,134000000,3.255549807,2.554040454,3.030801702
419,147,300000000,3.229471699,2.556976207,3.031052839
420,147,400000000,3.202915901,2.559944892,3.031202214
421,147,467000000,3.176840868,2.562794324,3.031525825
422,147,534000000,3.143432357,2.564736553,3.042450858
423,147,601000000,3.120553255,2.565799307,3.049669725
424,147,667000000,3.097478669,2.567557580,3.051775376
425,147,735000000,3.072248156,2.569248702,3.055405838
426,147,840000000,3.043344709,2.571228345,3.058294182
427,148,100000000,3.016764434,2.573061026,3.061325413
428,148,167000000,2.996417373,2.572926585,3.072695434
429,148,234000000,2.961656474,2.573781776,3.081879019
430,148,300000000,2.925973034,2.575555039,3.084029771
431,148,334000000,2.904052095,2.576780866,3.084368051
432,148,367000000,2.879053200,2.578182849,3.084395186
433,148,400000000,2.858319466,2.579343311,3.084327668
434,148,467000000,2.830385669,2.580907186,3.084162470
435,148,600000000,2.807619622,2.582204257,3.084116565
436,185,34000000,2.781855852,2.583728722,3.084399414
437,185,100000000,2.754041694,2.585341240,3.084496547
438,185,134000000,2.725314164,2.586997913,3.084564122
439,185,167000000,2.702274713,2.588315773,3.084560108
440,185,200000000,2.677139625,2.589737484,3.084463189
441,185,268000000,2.636185811,2.592063943,3.084378239
442,185,334000000,2.598933326,2.594199006,3.084400493
443,185,367000000,2.573901077,2.595640460,3.084438315
444,185,400000000,2.544854057,2.597308264,3.084454308
445,185,434000000,2.515647362,2.598968862,3.084376179
446,185,467000000,2.494696180,2.600150661,3.084276714
447,185,500000000,2.469255784,2.601625258,3.084402438
448,185,534000000,2.444709038,2.603006134,3.084230396
449,185,600000000,2.408552368,2.605032811,3.083912223
450,185,634000000,2.388053402,2.606225042,3.083971696
451,185,667000000,2.364426916,2.607595842,3.084009309
452,185,700000000,2.334798314,2.609322719,3.084110199
453,185,734000000,2.301478333,2.611256446,3.084174135
454,185,767000000,2.275162366,2.612780602,3.084211868
455,185,800000000,2.234460892,2.615116172,3.084149980
456,185,834000000,2.194026969,2.617406346,3.083933629
457,185,867000000,2.163274103,2.619180728,3.083967855
458,185,900000000,2.130505447,2.621081658,3.084032815
459,185,935000000,2.090419947,2.623380707,3.083945921
460,185,967000000,2.061578281,2.625018862,3.083802919
461,186,0,2.038872239,2.626301927,3.083640560
462,186,34000000,2.016781229,2.627536634,3.083370992
463,186,100000000,1.984930168,2.629014846,3.085607070
464,186,167000000,1.961718634,2.629813511,3.088160798
465,186,267000000,1.939533306,2.630953633,3.088561205
466,186,335000000,1.916898274,2.632154757,3.088616524
467,186,400000000,1.885127463,2.633834393,3.088587967
