stamp_sec,stamp_nanosec,frame_id,child_frame_id,x_m,y_m,yaw_rad,vx_mps,vy_mps,yaw_rate_rps
32,335000000,odom_imu_lidar_fused,base_link,3.174553011,0.536583190,1.228215615,-0.050598116,0.151623303,0.113881586
32,643000000,odom_imu_lidar_fused,base_link,3.173736323,0.591854916,1.217888650,-0.003279868,0.221974803,0.083137948
32,916000000,odom_imu_lidar_fused,base_link,3.173270017,0.672901265,1.203904671,-0.001404536,0.244115511,0.064896445
33,195000000,odom_imu_lidar_fused,base_link,3.172359666,0.740348992,1.190768786,-0.003656029,0.270874405,0.040861157
33,469000000,odom_imu_lidar_fused,base_link,3.169483630,0.812554127,1.173989080,-0.011550347,0.289980463,0.028843275
33,710000000,odom_imu_lidar_fused,base_link,3.165894764,0.923819235,1.146252300,-0.010809836,0.335135867,0.017239108
33,957000000,odom_imu_lidar_fused,base_link,3.162670797,0.987360840,1.130373814,-0.019421491,0.382780750,0.010527695
34,207000000,odom_imu_lidar_fused,base_link,3.156446100,1.069603365,1.106967045,-0.024998782,0.330291265,0.004229401
34,518000000,odom_imu_lidar_fused,base_link,3.160839914,1.163955972,1.077577628,0.013234379,0.284194601,0.004265806
34,776000000,odom_imu_lidar_fused,base_link,3.155607050,1.232070767,1.051427156,-0.021015518,0.273553394,0.006107974
35,19000000,odom_imu_lidar_fused,base_link,3.163940103,1.300815641,1.028337428,0.033466077,0.276083831,0.008806352
35,283000000,odom_imu_lidar_fused,base_link,3.171688555,1.348757290,1.004647468,0.031118283,0.192536742,0.010424743
35,565000000,odom_imu_lidar_fused,base_link,3.183062975,1.411890164,0.973932646,0.034260301,0.190159260,0.015676164
35,850000000,odom_imu_lidar_fused,base_link,3.195168668,1.447581609,0.949097839,0.048617240,0.143339137,0.016805152
36,87000000,odom_imu_lidar_fused,base_link,3.226697789,1.505055263,0.923957402,0.126622973,0.230817888,0.007267641
36,333000000,odom_imu_lidar_fused,base_link,3.250371508,1.542384327,0.900685015,0.095075180,0.149915920,0.008929901
36,617000000,odom_imu_lidar_fused,base_link,3.290633926,1.585555069,0.874399380,0.161696455,0.173376471,0.003210020
36,897000000,odom_imu_lidar_fused,base_link,4.143135433,2.551561452,0.933368224,2.567775623,2.909657780,0.001494401
37,175000000,odom_imu_lidar_fused,base_link,4.378405394,2.824624196,0.932505949,0.944859281,1.096637527,0.003803689
37,430000000,odom_imu_lidar_fused,base_link,4.580647930,3.079046614,0.917743671,0.812219024,1.021776779,0.004715813
37,685000000,odom_imu_lidar_fused,base_link,4.773461215,3.332483435,0.925330803,0.774350540,1.017818557,0.004147332
37,916000000,odom_imu_lidar_fused,base_link,4.775334350,3.358781897,0.923259198,0.007522631,0.105616315,0.001474378
38,198000000,odom_imu_lidar_fused,base_link,4.820728059,3.377131123,0.913081903,0.182304053,0.073691669,0.005733831
38,478000000,odom_imu_lidar_fused,base_link,4.948595923,3.511625618,0.900011600,0.385144167,0.405103900,0.002534694
38,743000000,odom_imu_lidar_fused,base_link,5.049714850,3.603112034,0.891243182,0.406100111,0.367415328,-0.002139895
38,974000000,odom_imu_lidar_fused,base_link,5.094592781,3.618454404,0.885266008,0.180232655,0.061615943,0.021235679
39,161000000,odom_imu_lidar_fused,base_link,5.129438538,3.630271316,0.878668896,0.209914195,0.071186219,0.163032467
39,568000000,odom_imu_lidar_fused,base_link,5.193403003,3.762488721,0.975829723,0.154131241,0.318596155,0.280758445
39,875000000,odom_imu_lidar_fused,base_link,5.235561304,3.819325445,1.169466382,0.126982834,0.171194954,0.211650625
40,108000000,odom_imu_lidar_fused,base_link,5.221749145,3.871356501,1.208517753,-0.083205775,0.313440093,0.157117610
40,352000000,odom_imu_lidar_fused,base_link,5.303902752,4.002137787,1.212065391,0.329934165,0.525226050,0.119189730
40,633000000,odom_imu_lidar_fused,base_link,5.382872663,4.144240000,1.230100307,0.237861178,0.428018713,0.091792287
40,966000000,odom_imu_lidar_fused,base_link,5.404075356,4.192935080,1.205236136,0.063863533,0.146671926,0.068191519
41,328000000,odom_imu_lidar_fused,base_link,5.546207414,4.437946467,1.212310367,0.428108608,0.737986108,0.178079360
41,692000000,odom_imu_lidar_fused,base_link,5.576970944,4.478968668,1.254342875,0.074128988,0.098848676,0.275297922
41,984000000,odom_imu_lidar_fused,base_link,5.595166745,4.552540116,1.402074943,0.073075503,0.295467662,0.203849402
42,224000000,odom_imu_lidar_fused,base_link,5.587769120,4.617438335,1.480563025,-0.029709338,0.260635417,0.146820458
42,522000000,odom_imu_lidar_fused,base_link,5.604044733,4.682042872,1.479885007,0.049022933,0.194591979,0.106712900
42,803000000,odom_imu_lidar_fused,base_link,5.649273371,4.813011021,1.465597592,0.181641114,0.525976502,0.113976263
43,56000000,odom_imu_lidar_fused,base_link,5.669240234,4.797863483,1.406426832,0.080188207,-0.060833485,0.157173596
43,356000000,odom_imu_lidar_fused,base_link,5.670330415,4.829617010,1.455699594,0.004378237,0.127524205,0.303865500
43,607000000,odom_imu_lidar_fused,base_link,5.665549203,4.865767526,1.569087141,-0.014401243,0.108887096,0.284487915
43,845000000,odom_imu_lidar_fused,base_link,5.648306259,4.863644178,1.701941988,-0.069248770,-0.008527501,0.219522006
44,226000000,odom_imu_lidar_fused,base_link,5.613962304,4.873105834,1.705002235,-0.103445646,0.028498963,0.186519643
44,521000000,odom_imu_lidar_fused,base_link,5.625543432,4.922124012,1.657355275,0.034882916,0.147645115,0.290702946
44,800000000,odom_imu_lidar_fused,base_link,5.621363700,4.946433614,1.680786812,-0.016786074,0.097628924,0.216807301
45,98000000,odom_imu_lidar_fused,base_link,5.606067105,4.926736676,1.750098872,-0.061432106,-0.079104169,0.164159363
45,351000000,odom_imu_lidar_fused,base_link,5.594342546,4.978741648,1.719676336,-0.035314937,0.156641482,0.118688241
45,674000000,odom_imu_lidar_fused,base_link,5.585973001,5.011489691,1.668273470,-0.025209474,0.098638683,0.089980342
45,945000000,odom_imu_lidar_fused,base_link,5.587218213,4.889106382,1.577601243,0.005000853,-0.491499231,0.085526399
46,171000000,odom_imu_lidar_fused,base_link,5.593609319,4.918723482,1.563038577,0.025667093,0.118944175,0.184545647
46,458000000,odom_imu_lidar_fused,base_link,5.616611963,4.934151375,1.573226279,0.092380094,0.061959410,0.170217377
46,703000000,odom_imu_lidar_fused,base_link,5.592178572,4.901383847,1.623753696,-0.098126068,-0.131596496,0.146191278
47,45000000,odom_imu_lidar_fused,base_link,5.576643532,4.953419745,1.608986602,-0.046792288,0.156734631,0.107178370
47,338000000,odom_imu_lidar_fused,base_link,5.628342715,4.843284531,1.484449847,0.155720431,-0.331732574,0.136121645
47,680000000,odom_imu_lidar_fused,base_link,5.636290083,4.844942552,1.466297131,0.023937856,0.004994042,0.268275207
