stamp_sec,stamp_nanosec,ax_mps2,ay_mps2,az_mps2,gx_rps,gy_rps,gz_rps,qx,qy,qz,qw
45,120000000,0.055058082,-0.041985374,9.743685603,-0.024753287,0.016279271,0.001223000,0.000000001,-0.000000000,-0.791264289,0.611474305
45,128000000,1.356017173,6.092065556,9.740160733,-0.000416307,0.010540383,-0.030828445,0.000000001,-0.000000001,-0.791300781,0.611427080
45,136000000,2.903471599,5.954362375,9.853559675,-0.021610768,0.007534580,-0.009556573,0.000000001,-0.000000001,-0.791339826,0.611376545
45,144000000,-0.296784967,5.426914625,9.712786613,-0.013896351,0.000337131,-0.024224872,0.000000002,-0.000000002,-0.791371200,0.611335933
45,152000000,-0.041952030,0.066281403,9.801375142,-0.000239808,-0.004576114,-0.008021539,0.000000002,-0.000000002,-0.791380570,0.611323804
45,160000000,-0.544441309,5.322053308,9.802263203,-0.009074615,0.023716090,-0.026184388,0.000000002,-0.000000002,-0.791423714,0.611267949
45,168000000,0.000676131,0.053337487,9.687061662,0.004417763,0.021739037,-0.009469766,0.000000002,-0.000000002,-0.791435643,0.611252503
45,176000000,-0.581164137,5.302980279,9.936013808,-0.019771785,-0.013102256,-0.018947920,0.000000002,-0.000000003,-0.791465143,0.611214306
45,184000000,-0.003272856,0.100188101,9.772449900,0.006223905,0.011171597,0.022155704,0.000000002,-0.000000003,-0.791477393,0.611198443
45,192000000,0.091514620,0.099386624,9.972952513,-0.003069276,0.001403349,-0.003969805,0.000000003,-0.000000003,-0.791483689,0.611190290
45,200000000,-0.194029837,-0.029686087,9.699368775,0.005663897,0.018142457,0.024436749,0.000000003,-0.000000003,-0.791485483,0.611187966
45,208000000,-3.278154484,-6.988342870,9.888339364,-0.019959381,-0.018228559,0.020749071,0.000000002,-0.000000003,-0.791477278,0.611198592
45,216000000,0.526101070,-5.400474532,9.919163378,0.001724550,-0.004019052,0.024521426,0.000000002,-0.000000002,-0.791438937,0.611248239
45,224000000,-0.072620672,-0.054730721,9.886009563,-0.016762116,-0.015072903,-0.019826576,0.000000002,-0.000000002,-0.791431900,0.611257350
45,232000000,0.017398117,0.057454886,9.906002425,-0.035062968,-0.005405585,-0.033257671,0.000000002,-0.000000002,-0.791425821,0.611265220
45,240000000,0.490454865,-5.430672960,9.732749786,-0.004444730,0.014554469,0.012460040,0.000000001,-0.000000001,-0.791394143,0.611306233
45,248000000,0.080881694,-0.088928913,9.688622506,-0.035408202,0.003903513,-0.017524867,0.000000001,-0.000000001,-0.791391230,0.611310004
45,256000000,-0.011608290,0.231139467,9.601975998,-0.021756242,-0.014603047,-0.003684067,0.000000001,-0.000000001,-0.791387530,0.611314794
45,264000000,0.661988884,-5.303601111,9.807726575,0.000798570,0.005831325,-0.020597301,0.000000001,-0.000000001,-0.791378063,0.611327050
45,272000000,-0.011823577,0.096518718,9.867820089,-0.018959940,-0.016518388,0.005388486,0.000000001,-0.000000000,-0.791376825,0.611328652
45,280000000,0.003071619,0.153438791,9.793147717,-0.006642082,-0.005772410,-0.003461617,0.000000000,-0.000000000,-0.791373171,0.611333382
45,288000000,-1.177071625,-6.358082990,9.790763399,0.015106652,-0.010981532,-0.011508617,0.000000000,-0.000000000,-0.791370337,0.611337051
45,296000000,0.037208524,0.222358572,9.742961853,-0.004016101,0.002925807,-0.007818539,0.000000000,-0.000000000,-0.791367509,0.611340712
45,304000000,0.007023868,0.054402796,9.836426092,-0.004633404,-0.020871307,-0.008732268,0.000000000,0.000000000,-0.791367352,0.611340915
45,312000000,0.649954344,-5.342710026,9.830036933,-0.009538213,0.005819612,-0.017343293,0.000000000,0.000000000,-0.791365440,0.611343390
45,320000000,0.316631228,-2.444322199,9.767348026,0.020684965,0.011879784,-0.004132891,0.000000000,0.000000000,-0.791362743,0.611346881
45,328000000,-0.063875826,-0.024014665,9.762127563,0.022280995,0.027248210,-0.026503568,0.000000000,0.000000000,-0.791362650,0.611347001
45,336000000,-0.086504197,-0.073634646,9.820552293,0.002584890,0.018651824,-0.010340244,0.000000000,0.000000000,-0.791362648,0.611347004
45,344000000,-0.223628688,-0.628970646,9.754643774,0.021874800,0.014702064,-0.014653736,0.000000000,0.000000000,-0.791361381,0.611348644
45,352000000,0.084749624,0.078443619,9.673757248,0.009386498,0.018108585,0.017675534,0.000000000,0.000000000,-0.791361379,0.611348647
45,360000000,-0.060331854,-0.001920986,9.831467556,0.004062692,0.013151684,-0.003815832,0.000000000,0.000000000,-0.791361376,0.611348651
45,368000000,0.077844576,-0.068186580,9.680413190,-0.016894496,0.021696205,-0.001133519,-0.000000000,0.000000000,-0.791360080,0.611350328
45,376000000,-0.112626610,-3.580357743,9.926708040,-0.000639982,-0.011945030,0.028747527,-0.000000000,0.000000000,-0.791360077,0.611350331
45,384000000,0.094988809,-0.145146890,9.967746850,0.018306645,-0.009424099,0.016239210,-0.000000000,0.000000000,-0.791360075,0.611350335
45,392000000,-0.220132611,-0.008994318,9.842337741,0.020784094,0.006962421,-0.005588678,-0.000000000,0.000000000,-0.791360072,0.611350339
45,400000000,0.064712315,0.006734426,9.707022381,-0.002293700,0.010597136,-0.005996699,-0.000000000,0.000000000,-0.791360069,0.611350342
45,408000000,-0.046415996,0.076288284,9.599433317,0.002889322,0.009522429,0.013808946,-0.000000000,0.000000000,-0.791360066,0.611350346
45,416000000,0.069158651,-0.037835900,9.799245168,0.010254357,0.012377384,0.001490876,0.000000000,0.000000000,-0.791360063,0.611350350
45,424000000,-0.072748577,-0.044599229,9.829844657,-0.018905093,-0.017200784,-0.000679843,0.000000000,0.000000000,-0.791360061,0.611350353
45,432000000,0.043505674,0.109982840,9.872630596,-0.009887105,-0.010653694,0.004222405,0.000000000,0.000000000,-0.791360058,0.611350357
45,440000000,0.077745908,0.025580224,9.616892127,-0.003808423,0.017199199,0.002071792,0.000000000,0.000000000,-0.791360055,0.611350360
45,448000000,0.025663752,-0.093298310,9.943206148,0.006627618,0.033001066,0.005531570,0.000000000,0.000000000,-0.791360052,0.611350364
45,456000000,-0.192980017,-0.005343275,9.778325063,0.006120072,-0.005675629,0.021634517,0.000000000,0.000000000,-0.791360049,0.611350368
45,464000000,-0.105705278,0.091334210,9.674042896,-0.015678795,-0.021544152,0.014783268,0.000000000,0.000000000,-0.791360047,0.611350371
45,472000000,-0.077016758,0.070415545,9.642327920,-0.023018584,0.016817078,-0.011272186,0.000000000,0.000000000,-0.791360259,0.611350097
45,480000000,-0.076406685,0.040691410,9.621760746,-0.005774513,-0.013995268,0.002671084,0.000000000,0.000000000,-0.791360256,0.611350101
45,488000000,-0.071081411,-0.064876837,9.971839883,-0.017206573,0.021529083,-0.007445709,0.000000000,0.000000000,-0.791360253,0.611350104
45,496000000,0.119643672,-0.043934830,9.739730183,0.015765760,0.009111194,0.000708197,0.000000000,0.000000000,-0.791360250,0.611350108
45,504000000,-0.127789009,0.043846383,9.887093464,0.008188943,-0.004970897,0.001755277,0.000000000,0.000000000,-0.791360247,0.611350112
45,512000000,0.122118391,0.052847682,9.796805386,0.006865016,-0.008045016,-0.037619332,0.000000000,0.000000000,-0.791360245,0.611350115
45,520000000,-0.068278118,0.022829621,9.877835217,-0.005299854,0.000529867,-0.019864400,0.000000000,0.000000000,-0.791360242,0.611350119
45,528000000,-0.078463092,-0.152235284,9.868375175,-0.014080537,-0.019777395,-0.012136918,0.000000000,0.000000000,-0.791360239,0.611350122
45,536000000,-0.123394663,-0.105472301,9.838060890,0.008296768,0.010954071,-0.007969831,0.000000000,0.000000000,-0.791360236,0.611350126
45,544000000,0.131864095,-0.606459999,9.809857803,0.000429654,-0.010302570,-0.006912443,0.000000000,0.000000000,-0.791360233,0.611350130
45,552000000,0.094745599,-0.071864333,9.839714093,-0.006409311,0.003145634,0.002616106,0.000000000,0.000000000,-0.791360231,0.611350133
45,560000000,0.010028885,-0.095177399,9.863397892,-0.003084078,-0.013745269,-0.000744638,0.000000000,0.000000000,-0.791360228,0.611350137
45,568000000,-0.059271001,-0.371086741,9.798876635,0.003078207,-0.010085624,0.014737472,0.000000000,0.000000000,-0.791360225,0.611350140
45,576000000,-0.071206990,-1.072550256,9.901113708,-0.009128174,-0.021660790,0.002976140,0.000000000,0.000000000,-0.791360222,0.611350144
45,584000000,-0.122767774,0.097485452,9.906009592,-0.029777059,0.016634138,-0.010513219,0.000000000,0.000000000,-0.791360219,0.611350148
45,592000000,-0.005609561,0.040481602,9.877530399,-0.014882682,-0.007531666,-0.015769107,0.000000000,0.000000000,-0.791360217,0.611350151
45,600000000,-0.047254648,0.013455537,9.847904816,0.001446305,0.000652106,0.003669203,0.000000000,-0.000000000,-0.791360214,0.611350155
45,608000000,-0.094819117,-0.069067374,9.806290877,0.014430141,0.013506343,0.008669284,0.000000000,-0.000000000,-0.791360211,0.611350159
45,616000000,-0.093555225,0.027560878,9.669017516,-0.020982697,-0.033141599,0.024749715,0.000000000,-0.000000000,-0.791360208,0.611350162
45,624000000,-0.140136585,-0.130613186,9.763349213,0.010204956,0.013745537,0.005653208,0.000000000,-0.000000000,-0.791360205,0.611350166
45,632000000,0.239716303,0.142840231,9.792031294,-0.006567575,0.005460457,-0.003687418,0.000000000,-0.000000000,-0.791360203,0.611350169
45,640000000,0.133869894,0.063173603,9.804272699,0.011852429,0.007242693,0.004238472,0.000000000,-0.000000000,-0.791360200,0.611350173
45,648000000,0.242032996,-0.055746575,9.875464245,0.018752399,-0.027127877,0.039531265,0.000000000,-0.000000000,-0.791338479,0.611378288
45,656000000,0.201078413,0.021200559,9.768132016,-0.019025158,-0.018910793,0.028616174,0.000000000,-0.000000000,-0.791290628,0.611440219
45,664000000,0.206571885,-0.179478595,9.906106309,0.021608548,-0.003433740,0.043870737,0.000000000,-0.000000000,-0.791211374,0.611542771
45,672000000,0.263370724,-0.006244730,9.927247241,-0.002879541,-0.003647908,0.030100346,0.000000000,-0.000000000,-0.791099000,0.611688133
45,680000000,0.679270576,-0.424318728,9.896544912,-0.009824856,0.033009365,0.060800332,0.000000000,-0.000000000,-0.790943792,0.611888812
45,688000000,0.647687452,-0.599581395,9.826691306,0.002021475,-0.006091047,0.112952446,0.000000000,-0.000000000,-0.790735192,0.612158359
45,696000000,0.811463997,-0.450612578,9.734842168,0.021658409,-0.004680465,0.134046715,0.000000000,-0.000000000,-0.790458999,0.612514956
45,704000000,0.593288387,-0.225311665,9.850694328,-0.008320037,0.014165356,0.153793109,0.000000000,-0.000000000,-0.790121488,0.612950271
45,712000000,0.670099277,-0.310886088,9.705247573,-0.021302813,0.014002578,0.181134986,0.000000000,-0.000000000,-0.789736383,0.613446367
45,720000000,0.908034108,-0.368668420,9.685318634,-0.003532229,0.016361394,0.193460580,0.000000000,-0.000000000,-0.789292885,0.614016890
45,728000000,0.928403533,-0.487170510,9.778244739,0.003574730,0.003330603,0.240031024,0.000000000,-0.000000000,-0.788778516,0.614677519
45,736000000,0.962378666,-0.468376649,9.768273103,0.006902463,0.006531347,0.263207874,-0.000000000,-0.000000000,-0.788184463,0.615439072
