monitor_t_s,monitor_monotonic_s,in_active_window,phase,expected_motor_speed_pct,expected_motor_duty_cycle_ns,actual_motor_duty_cycle_ns,duty_cycle_delta_ns,expected_motor_enabled,actual_motor_enabled,motor_enabled_mismatch,expected_steering_duty_cycle_ns,actual_steering_duty_cycle_ns,expected_steering_enabled,actual_steering_enabled
3.2193752020000375,1844.1223194,0,,,,1500000,,,1,0,,1640000,,1
3.2396540170000208,1844.142598215,0,,,,1500000,,,1,0,,1640000,,1
3.259931646000041,1844.162875844,0,,,,1500000,,,1,0,,1640000,,1
3.28026773900001,1844.183211937,0,,,,1500000,,,1,0,,1640000,,1
3.300522554000054,1844.203466752,0,,,,1500000,,,1,0,,1640000,,1
3.3207723870000336,1844.223716585,0,,,,1500000,,,1,0,,1640000,,1
3.3410286280000037,1844.243972826,0,,,,1500000,,,1,0,,1640000,,1
3.361278461000211,1844.264222659,0,,,,1500000,,,1,0,,1640000,,1
3.381522609000058,1844.284466807,0,,,,1500000,,,1,0,,1640000,,1
3.4017869240001346,1844.304731122,0,,,,1500000,,,1,0,,1640000,,1
3.422083202000067,1844.3250274,0,,,,1500000,,,1,0,,1640000,,1
3.4424324610001804,1844.345376659,0,,,,1500000,,,1,0,,1640000,,1
3.4627526650001528,1844.365696863,0,,,,1500000,,,1,0,,1640000,,1
3.48324992400012,1844.386194122,0,,,,1500000,,,1,0,,1640000,,1
3.5037028680001185,1844.406647066,0,,,,1500000,,,1,0,,1640000,,1
3.5242373870000847,1844.427181585,0,,,,1500000,,,1,0,,1640000,,1
3.544714016000171,1844.447658214,0,,,,1500000,,,1,0,,1640000,,1
3.5652441650001947,1844.468188363,0,,,,1500000,,,1,0,,1640000,,1
3.585483202000205,1844.4884274,0,,,,1500000,,,1,0,,1640000,,1
3.6057182760000615,1844.508662474,0,,,,1500000,,,1,0,,1640000,,1
3.6259859790000064,1844.528930177,0,,,,1500000,,,1,0,,1640000,,1
3.6462392200000977,1844.549183418,0,,,,1500000,,,1,0,,1640000,,1
3.6664749980000124,1844.569419196,0,,,,1500000,,,1,0,,1640000,,1
3.6867054050001116,1844.589649603,0,,,,1500000,,,1,0,,1640000,,1
3.7069503130001067,1844.609894511,0,,,,1500000,,,1,0,,1640000,,1
3.7272195720001946,1844.63016377,0,,,,1500000,,,1,0,,1640000,,1
3.747483794000118,1844.650427992,0,,,,1500000,,,1,0,,1640000,,1
3.7677690530001655,1844.670713251,0,,,,1500000,,,1,0,,1640000,,1
3.788039572000116,1844.69098377,0,,,,1500000,,,1,0,,1640000,,1
3.808304313000008,1844.711248511,0,,,,1500000,,,1,0,,1640000,,1
3.828566961000206,1844.731511159,0,,,,1500000,,,1,0,,1640000,,1
3.8488391090002096,1844.751783307,0,,,,1500000,,,1,0,,1640000,,1
3.869099553000069,1844.772043751,0,,,,1500000,,,1,0,,1640000,,1
3.889355905000002,1844.792300103,0,,,,1500000,,,1,0,,1640000,,1
3.9096084610000617,1844.812552659,0,,,,1500000,,,1,0,,1640000,,1
3.9298797200001445,1844.832823918,0,,,,1500000,,,1,0,,1640000,,1
3.950148868000042,1844.853093066,0,,,,1500000,,,1,0,,1640000,,1
3.9704177940000136,1844.873361992,0,,,,1500000,,,1,0,,1640000,,1
3.9906941640001605,1844.893638362,0,,,,1500000,,,1,0,,1640000,,1
4.010954331000221,1844.913898529,0,,,,1500000,,,1,0,,1640000,,1
4.031220590000203,1844.934164788,0,,,,1500000,,,1,0,,1640000,,1
4.051487275000227,1844.954431473,0,,,,1500000,,,1,0,,1640000,,1
4.071872849000101,1844.974817047,0,,,,1500000,,,1,0,,1640000,,1
4.092318775000194,1844.995262973,0,,,,1500000,,,1,0,,1640000,,1
4.112660312000116,1845.01560451,0,,,,1500000,,,1,0,,1640000,,1
4.1329850720001104,1845.03592927,0,,,,1500000,,,1,0,,1640000,,1
4.15334749800013,1845.056291696,0,,,,1500000,,,1,0,,1640000,,1
4.1736875160002,1845.076631714,0,,,,1500000,,,1,0,,1640000,,1
4.194027535000032,1845.096971733,0,,,,1500000,,,1,0,,1640000,,1
4.214425164000204,1845.117369362,0,,,,1500000,,,1,0,,1640000,,1
4.234789275000139,1845.137733473,0,,,,1500000,,,1,0,,1640000,,1
4.255224683000051,1845.158168881,0,,,,1500000,,,1,0,,1640000,,1
4.275588035000055,1845.178532233,0,,,,1500000,,,1,0,,1640000,,1
4.295933257000115,1845.198877455,0,pre_arm_neutral,0.0,1500000,1500000,0,1,1,0,1640000,1640000,1,1
4.316282646000218,1845.219226844,0,pre_arm_neutral,0.0,1500000,1500000,0,1,1,0,1640000,1640000,1,1
4.336622053000156,1845.239566251,0,pre_arm_neutral,0.0,1500000,1500000,0,1,1,0,1640000,1640000,1,1
4.356988349000176,1845.259932547,0,pre_arm_neutral,0.0,1500000,1500000,0,1,1,0,1640000,1640000,1,1
4.377429609000046,1845.280373807,0,pre_arm_neutral,0.0,1500000,1500000,0,1,1,0,1640000,1640000,1,1
4.3978079600001365,1845.300752158,0,pre_arm_neutral,0.0,1500000,1500000,0,1,1,0,1640000,1640000,1,1
4.418154127000207,1845.321098325,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
4.438513553000121,1845.341457751,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
4.458850108000206,1845.361794306,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
4.479180553000106,1845.382124751,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
4.499513868000122,1845.402458066,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
4.519860090000066,1845.422804288,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
4.540294682000194,1845.44323888,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
