x_m,y_m,hit_count
-6.947925816,0.436118814,1
-6.945854853,0.518479736,1
-6.922877024,0.638045753,1
-6.955141645,0.695178027,1
-6.931367330,0.749756103,1
-6.924167381,0.862967704,1
-6.936899641,0.935325121,1
-6.932643377,1.089351750,1
-6.959922016,1.359747000,1
-6.935988275,1.374996280,6
-6.928886546,1.411407140,1
-6.919449211,-0.157977737,1
-6.900935573,0.065381423,1
-6.905348153,0.173237292,2
-6.909091135,0.284651635,1
-6.887610595,0.398303432,1
-6.889911876,0.509269959,1
-6.917910243,0.714041641,1
-6.880477918,0.738699912,1
-6.885946945,0.848250099,1
-6.884161574,0.931787840,1
-6.917232934,0.967202371,1
-6.892153179,1.113152733,1
-6.915143341,1.357804458,1
-6.900168811,1.367138936,2
-6.887661520,1.428298929,1
-6.896368930,1.443607541,1
-6.870175449,-0.162761696,2
-6.854210653,0.059006120,1
-6.853096303,0.619251688,1
-6.843595590,0.764509176,1
-6.855870689,0.951485610,2
-6.877705680,1.299127218,1
-6.865645169,1.373537027,2
-6.863742984,1.452661447,1
-6.825490961,-0.166594396,2
-6.820617460,-0.053355113,1
-6.823768909,0.056764600,1
-6.835029257,0.168988146,2
-6.824812401,0.277077735,1
-6.808012676,0.284488022,1
-6.827705514,0.388143410,1
-6.808443416,0.400368238,1
-6.803469702,0.585426959,1
-6.803003596,0.609428695,1
-6.832792282,0.729762174,1
-6.827720154,0.832793309,1
-6.822451406,0.896000956,1
-6.826640017,0.945561667,1
-6.805251775,0.967032047,1
-6.822538374,1.112671986,1
-6.827455118,1.147794560,1
-6.831366177,1.377152153,2
-6.811640267,1.533456285,1
-6.798097569,-0.172241862,1
-6.777637526,0.057101664,2
-6.774237535,0.146401659,3
-6.799660771,0.222322979,1
-6.772850751,0.270990195,1
-6.773432576,0.491797672,1
-6.781910759,0.714766510,1
-6.799196391,0.763921965,1
-6.772223153,0.821337163,1
-6.781534423,0.943748071,2
-6.797002935,1.156876254,1
-6.767652645,1.234573915,1
-6.786804616,1.374299090,3
-6.746776620,-0.175541602,2
-6.730574702,0.027422570,2
-6.730241183,0.049832909,1
-6.741555202,0.137104728,2
-6.759670662,0.379458477,1
-6.746863495,0.428766187,1
-6.749065158,0.524928015,1
-6.739749247,0.585052249,3
-6.741107536,0.703421171,2
-6.747042387,0.748906930,2
-6.727113259,0.828463508,25
-6.725766625,0.873805933,1
-6.725036752,0.900505595,6
-6.736287796,0.925182956,1
-6.743646296,1.134278881,2
-6.721075851,1.199070232,1
-6.749206116,1.543019663,1
-6.699722964,-0.176761692,2
-6.699916578,-0.085168742,1
-6.719349554,-0.061288518,1
-6.707537655,0.050515052,1
-6.705967365,0.092958568,1
-6.718312840,0.152909494,1
-6.701252599,0.270762801,3
-6.712061295,0.426381128,2
-6.697625058,0.452073313,1
-6.701706474,0.481533793,1
-6.696156371,0.587042819,1
-6.695614416,0.656531415,1
-6.706239007,0.694188595,1
-6.710132177,0.827465827,41
-6.711880894,0.858377065,8
-6.709878634,0.896681327,5
-6.709564803,1.073342799,1
-6.712975181,1.267362474,1
-6.682779361,1.332255842,1
-6.711086590,1.393708480,2
-6.716031942,1.565242972,1
-6.697392355,1.611693598,1
-6.670794131,-0.059638922,2
-6.657450877,0.046907207,2
-6.645774445,0.129560087,1
-6.672668490,0.277032081,1
-6.669274980,0.295733141,1
-6.657814684,0.347203477,1
-6.644874567,0.364701748,1
-6.662417909,0.475243950,1
-6.659490342,0.575948189,1
-6.649761917,0.692524621,2
-6.652737867,0.795285131,1
-6.675525941,0.803509705,1
-6.679008839,0.843778016,1
-6.658560871,1.013881826,2
-6.643583220,1.187866219,2
-6.663152529,1.271577858,1
-6.644813442,1.295674742,1
-6.674168246,1.393071685,1
-6.648212517,1.636140274,1
-6.661360448,1.653207710,2
-6.645887182,1.692663856,2
-6.628743286,0.050897851,2
-6.627028079,0.147139098,2
-6.620629056,0.254111688,1
-6.608620253,0.458847343,2
-6.604099992,0.583096867,1
-6.627903159,0.616468005,1
-6.623553441,0.699587125,66
-6.618627909,0.741001896,11
-6.622153893,0.777082015,8
