_sequence,phase,step,cycle,steer_center_trim_dc,steer_clamped_deg,steer_cycle,steer_dc_center,steer_phase,steer_post_sign_deg,steer_pre_sign_deg,steer_pwm_dc,steer_requested_deg,steer_steering_direction_sign,steer_steering_limit_deg,steer_step,steer__tag,steer__line_no,motor_cycle,motor_neutral_dc,motor_phase,motor_pwm_dc,motor_reverse_mode,motor_speed_pct,motor_step,motor__tag,motor__line_no,front_clearance_m,front_min_m,heading_offset_deg,left_clearance_m,left_min_m,left_right_delta_m,right_clearance_m,right_min_m,scan_age_s,_tag,_line_no,active_heading_source,avoidance_heading_deg,centering_heading_deg,centering_weight,gap_heading_deg,speed_pct,steering_deg,steering_pre_servo_deg,target_heading_deg,pose_cycle,pose_distance_from_phase_start_m,pose_lateral_drift_m,pose_phase,pose_step,pose_x,pose_y,pose_yaw_change_deg,pose_yaw_deg,pose__tag,pose__line_no
38,nav_dryrun,dryrun,39,1.7,0.0,39,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,192,39,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,193,,,-89,,,,,,,DIAG_NAV,195,,,,,,,,,,39,,,nav_dryrun,dryrun,,,,,DIAG_POSE,196
39,nav_dryrun,dryrun,40,1.7,0.0,40,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,197,40,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,198,,,-89,,,,,,,DIAG_NAV,200,,,,,,,,,,40,,,nav_dryrun,dryrun,,,,,DIAG_POSE,201
40,nav_dryrun,dryrun,41,1.7,0.0,41,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,202,41,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,203,,,-89,,,,,,,DIAG_NAV,205,,,,,,,,,,41,,,nav_dryrun,dryrun,,,,,DIAG_POSE,206
41,nav_dryrun,dryrun,42,1.7,0.0,42,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,207,42,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,208,0.0,,-89,0.6981703911508833,0.5464897155761719,0.6094303266423476,0.08874006450853565,0.053614482283592224,0.067280244,DIAG_NAV,210,avoidance,9.909637942910194,10.969745879562257,0.0,36.0,0.0,3.468373280018568,3.468373280018568,9.909637942910194,42,,,nav_dryrun,dryrun,,,,,DIAG_POSE,211
42,nav_dryrun,dryrun,43,1.7,0.0,43,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,212,43,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,213,0.0,,-89,0.6999835899897984,0.5477666854858398,0.6454787954757487,0.05450479451404965,0.026623910292983055,0.005630331000000001,DIAG_NAV,215,avoidance,10.584402242675424,11.618618318563477,0.0,36.0,0.0,3.704540784936398,3.704540784936398,10.584402242675424,43,,,nav_dryrun,dryrun,,,,,DIAG_POSE,216
43,nav_dryrun,dryrun,44,1.7,0.0,44,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,217,44,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,218,0.0,,-89,0.690254849546096,0.5483463406562805,0.6374846765759334,0.052770172970162496,0.026410747319459915,0.015256,DIAG_NAV,220,avoidance,10.589731317013502,11.474724178366802,0.0,37.0,0.0,3.7064059609547253,3.7064059609547253,10.589731317013502,44,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,221
44,nav_dryrun,dryrun,45,1.7,0.0,45,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,222,45,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,223,0.0,,-89,0.690254849546096,0.5483463406562805,0.6374846765759334,0.052770172970162496,0.026410747319459915,0.11549335200000001,DIAG_NAV,225,avoidance,10.589731317013502,11.474724178366802,0.0,37.0,0.0,3.7064059609547253,3.7064059609547253,10.589731317013502,45,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,226
45,nav_dryrun,dryrun,46,1.7,0.0,46,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,227,46,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,228,0.0,,-89,0.7011663011142186,0.5503470301628113,0.6507798581664997,0.05038644294771883,0.02643420360982418,0.071290194,DIAG_NAV,230,avoidance,10.589144909754395,11.714037446996995,0.0,36.0,0.0,3.706200718414038,3.706200718414038,10.589144909754395,46,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,231
46,nav_dryrun,dryrun,47,1.7,0.0,47,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,232,47,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,233,0.0,,-89,0.702500992161887,0.5487342476844788,0.6513672894665172,0.05113370269536972,0.026355598121881485,0.069722462,DIAG_NAV,235,avoidance,10.591110046952963,11.72461121039731,0.0,36.0,0.0,3.7068885164335366,3.7068885164335366,10.591110046952963,47,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,236
47,nav_dryrun,dryrun,48,1.7,0.0,48,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,237,48,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,238,0.0,,-89,0.6940928504747503,0.5454943776130676,0.6432900446205357,0.05080280585421456,0.02651531621813774,0.004589639,DIAG_NAV,240,avoidance,10.587117094546556,11.579220803169644,0.0,37.0,0.0,3.7054909830912943,3.7054909830912943,10.587117094546556,48,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,241
